TransMem v7 — Source->Destination Centroid Routing Trace
==========================================================================================
Probe tokens (290):
  'The' ' central' ' bank' ' raised' ' interest' ' rates' ' by' ' 25' ' basis' ' points'
  ' on' ' Thursday' ',' ' its' ' seventh' ' consecutive' ' increase' ',' ' citing'
  ' persistent' ' inflation' 'ary' ' pressure' ' across' ' energy' ' and' ' food'
  ' sectors' '.' ' Markets' ' had' ' largely' ' priced' ' in' ' the' ' move' ','
  ' though' ' the' ' accompanying' ' statement' ' surprised' ' analysts' ' by'
  ' signalling' ' a' ' potential' ' pause' ' in' ' June' '.' ' The' ' benchmark' ' ten'
  '-' 'year' ' yield' ' rose' ' four' ' basis' ' points' ' to' ' 4' '.' '31' ' percent'
  ' shortly' ' after' ' the' ' announcement' '.' ' ' ' The' ' prime' ' minister'
  ' addressed' ' parliament' ' on' ' Tuesday' ',' ' defending' ' the' ' government' "'s"
  ' proposed' ' reforms' ' to' ' the' ' healthcare' ' system' '.' ' Opposition'
  ' leaders' ' criticised' ' the' ' plan' ' as' ' under' 'funded' ' and' ' poorly'
  ' timed' ',' ' arguing' ' that' ' frontline' ' workers' ' had' ' not' ' been'
  ' consulted' '.' ' Several' ' back' 'ben' 'chers' ' from' ' the' ' ruling' ' coalition'
  ' also' ' expressed' ' reservations' ',' ' threatening' ' to' ' vote' ' against' ' the'
  ' bill' ' unless' ' amendments' ' were' ' introduced' ' before' ' the' ' final'
  ' reading' '.' ' ' ' Voters' ' in' ' three' ' swing' ' states' ' will' ' head' ' to'
  ' the' ' polls' ' next' ' month' ' in' ' what' ' analysts' ' describe' ' as' ' a'
  ' bell' 'w' 'ether' ' for' ' the' ' national' ' election' '.' ' Poll' 'ing' ' data'
  ' suggests' ' a' ' tight' ' race' ',' ' with' ' neither' ' candidate' ' holding' ' a'
  ' decisive' ' lead' ' outside' ' the' ' margin' ' of' ' error' '.' ' Campaign'
  ' strateg' 'ists' ' on' ' both' ' sides' ' have' ' shifted' ' resources' ' toward'
  ' rural' ' districts' ',' ' where' ' turnout' ' could' ' prove' ' decisive' '.'
  ' Meanwhile' ',' ' independent' ' candidates' ' continue' ' to' ' draw' ' support'
  ' from' ' younger' ' voters' ' disillusion' 'ed' ' with' ' the' ' two' ' major'
  ' parties' '.' ' ' ' The' ' foreign' ' minister' ' met' ' with' ' her' ' counterparts'
  ' from' ' six' ' neighbouring' ' countries' ' to' ' discuss' ' a' ' regional' ' trade'
  ' agreement' ' that' ' has' ' been' ' stalled' ' for' ' over' ' two' ' years' '.'
  ' Neg' 'oti' 'ators' ' cited' ' disagreements' ' over' ' agricultural' ' tariffs'
  ' and' ' intellectual' ' property' ' protections' ' as' ' the' ' primary' ' obstacles'
  '.' ' A' ' joint' ' commun' 'ique' ' issued' ' after' ' the' ' talks' ' described'
  ' the' ' discussions' ' as' ' constructive' ' but' ' acknowledged' ' that'
  ' significant' ' differences' ' remain' ' unresolved' '.'
==========================================================================================

==========================================================================================
BLOCK 0  (unique src: 31/128  unique dst: 16/128  self-routes: 2/290)
==========================================================================================
Token             POS     Src  SrcH  Top3-Src       Dst  DstH  Top3-Dst      Dir
--------------------------------------------------------------------------------
'The'             DET      98  0.00  98,10,12        48  2.20  48,107,25     ->
' central'        ADJ      21  3.37  21,121,55       99  4.00  99,107,42     ->
' bank'           NOUN     21  3.76  21,121,6       107  3.94  107,42,48     ->
' raised'         VERB     21  3.57  21,121,55      118  2.14  118,80,99     ->
' interest'       NOUN     21  4.11  21,121,6        25  3.19  25,107,99     ->
' rates'          NOUN     21  4.14  21,121,6       107  3.35  107,25,6      ->
' by'             ADP      21  3.37  21,121,105      89  0.05  89,98,119     ->
' 25'             NUM      21  4.04  21,121,82       41  2.58  41,107,48     ->
' basis'          NOUN     21  4.02  21,121,55       25  3.28  25,107,99     ->
' points'         NOUN     21  4.20  21,121,54       25  2.49  25,107,99     ->
' on'             ADP      21  3.30  21,121,114      89  0.01  89,59,119     ->
' Thursday'       PROPN    40  3.90  40,21,121       40  2.70  40,41,107     =
','               PUNCT   121  2.31  121,21,55       98  0.09  98,29,59      ->
' its'            PRON    121  3.61  121,21,55       59  0.01  59,118,98     ->
' seventh'        ADJ      21  4.43  21,121,78       59  0.20  59,29,118     ->
' consecutive'    ADJ      21  4.19  21,121,55       99  1.65  99,118,25     ->
' increase'       NOUN     21  4.38  21,121,55       25  2.47  25,99,107     ->
','               PUNCT   121  2.10  121,21,55       98  0.09  98,29,59      ->
' citing'         VERB     21  4.49  21,121,72      118  1.87  118,99,25     ->
' persistent'     ADJ      21  4.15  21,121,55       99  2.29  99,118,25     ->
' inflation'      X         6  4.64  6,21,24        107  2.68  107,6,25      ->
'ary'             X        21  4.35  21,121,55       42  3.07  42,99,107     ->
' pressure'       NOUN     21  4.51  21,121,91       25  2.55  25,107,99     ->
' across'         ADP     121  4.13  121,21,55       89  0.03  89,99,80      ->
' energy'         NOUN    121  4.43  121,21,94      107  2.92  107,94,25     ->
' and'            CCONJ   121  2.11  121,21,55       98  0.15  98,59,118     ->
' food'           NOUN      4  4.48  4,21,121       107  2.54  107,4,25      ->
' sectors'        NOUN     21  4.54  21,121,23      107  2.75  107,48,23     ->
'.'               PUNCT   121  2.02  121,21,40       29  0.07  29,98,42      ->
' Markets'        NOUN     21  4.56  21,6,121       107  2.97  107,48,6      ->
' had'            VERB    121  3.31  121,21,77       59  0.06  59,98,14      ->
' largely'        ADV     121  4.15  121,21,55       99  1.47  99,118,83     ->
' priced'         VERB    102  4.53  102,21,6        99  2.99  99,107,25     ->
' in'             ADP     121  2.98  121,21,55       89  0.03  89,119,98     ->
' the'            DET     121  2.87  121,21,55       59  0.14  59,119,118    ->
' move'           NOUN    121  4.42  121,21,70       25  0.88  25,99,107     ->
','               PUNCT   121  1.87  121,21,55       98  0.07  98,29,59      ->
' though'         ADP     121  4.03  121,21,40       59  0.54  59,98,14      ->
' the'            DET     121  2.79  121,21,55       59  0.11  59,118,119    ->
' accompanying'   VERB    121  4.50  121,21,55       99  2.27  99,83,25      ->
' statement'      NOUN     47  4.35  47,121,21       25  2.16  25,47,107     ->
' surprised'      VERB     21  4.58  21,76,121       99  2.42  99,25,83      ->
' analysts'       NOUN    121  4.44  121,21,54       48  2.73  48,107,25     ->
